"Chemical, Pharmacological or Therapeutic subgroup
(ATC
classification)","International Non‐proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language
(Cyrillic
alphabet)","Brand name in Ukraine Cyrillic alphabet","Brand name in Ukraine (Latin alphabet)","Manufacturer","Dosage form
in Ukrainian language (Cyrillic alphabet)","Dosage form (in English)","Information for patients in Ukrainian","Chemical, Pharmacological or Therapeutic subgroup (ATC
classification)","International Non‐ proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language (Cyrillic
alphabet)","Brand name in Ukraine (Cyrillic alphabet)","Chemical, Pharmacological or Therapeutic
subgroup
(ATC classification)","Dosage form in Ukrainian
language (Cyrillic alphabet)","Informatio n for patients in Ukrainian","Dosage form in Ukrainian language (Cyrillic
alphabet)","...1","...2","...3","...4","...5","...6","‐ 0.06 мг/0,015 мг, (жовті таблетки);
‐ плацебо (зелені
таблетки);","‐ 0.06 mg / 0.015 mg (yellow tablets);
‐ placebo (green
pills);","...9","G03AA12","Drospirenone / Ethinylestradiol","Дроспіренон /
Естрадіол","ЛІБЕРАТТІ®","LIBERATTI®","Лабораторіос Леон Фарма, С.А., Іспанія","таблетки, по 3
мг/0,02 мг;","tablets, 3 mg / 0.02 mg;","https://compendium. com.ua/info/337142/
liberatti/","G03AA16","Dienogest / Ethinylestradiol","Дієногест /
Етинілестрадіол","СИЛУЕТ®","SILUETTE®","ВАТ ""Гедеон Ріхтер"", Угорщина","таблетки, по 2
мг/0,03 мг;","tablets, 2 mg / 0.03 mg;","https://compendium. com.ua/info/200618/
siluet‐sup‐sup‐/","G03AD01","Levonorgestrel","Левоноргестрел","ЛЕРГЕСАН","LERGESUN","Сан Фармасьютикал Індастріз Лтд., Індія","таблетки, по 0,75
мг; 1,5 мг;¤","tablets, 0.75 mg; 1.5 mg;","https://compendium. com.ua/info/452740/
lergesan/","Ukrainian alphabet","Latin alphabet","Position in a word","Examples...4","Examples...5"
"C08CA01",,,,"AMLODIPINE SANDOZ®","Лек фармацевтична компанія д.д.,
Словенія",,"tablets 10 mg; 5 mg;","https://compendium.c om.ua/info/251892/12
5394/",,"Amlodipine","Амлодипін","АМЛОДИПІН САНДОЗ®",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"AMLODIPINE‐ ASTRAPHARM","ТОВ ""АСТРАФАРМ"",
м.Вишневе, Києво‐ Святошинський р‐н,
Україна",,"tablets 10 mg; 5 mg;","https://compendium.c om.ua/info/167575/77
308‐622876/",,"Amlodipine","Амлодипін","АМЛОДИПІН‐ АСТРАФАРМ",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"AMLODIPINE ‐
DARNITSA","ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна",,"tablets 10 mg; 5 mg;","https://compendium.c om.ua/info/275626/48
5054/",,"Amlodipine","Амлодипін","АМЛОДИПІН ‐ ДАРНИЦЯ",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"AMLODIPINE","ТОВ
""Фармацевтична",,"tablets 10 mg; 5 mg;","https://compendium.c om.ua/info/166769/64
137/",,"Amlodipine","Амлодипін","АМЛОДИПІН‐ ЗДОРОВ’Я",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,"","компанія
""Здоров'я"", Україна",,"","",,"","","",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"AMLODIPINE‐KV","АТ ""Київський вітамінний завод"",
м.Київ, Україна",,"tablets 10 mg; 5 mg;","https://compendium.c om.ua/info/171348/10
8532/",,"Amlodipine","Амлодипін","АМЛОДИПІН‐КВ",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"AMLODIPINE‐TEVA","АТ Фармацевтичний завод ТЕВА,
Угорщина",,"tablets 10 mg; 5 mg;","https://compendium.c om.ua/info/337663/41
2509/",,"Amlodipine","Амлодипін","АМЛОДИПІН‐ТЕВА",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"AMLODIPINE‐ FARMAK","ПАТ ""Фармак"", м. Київ, Україна",,"tablets 10 mg; 5 mg;","https://compendium.c om.ua/info/167692/65
950‐65951/",,"Amlodipine","Амлодипін","АМЛОДИПІН‐ ФАРМАК",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"AMLODIPINE‐ PHYTOPHARM","ПРАТ ""ФІТОФАРМ""",,"tablets 10 mg; 5 mg;","https://mozdocs.kiev.u a/likiview.php?id=4496
2",,"Amlodipine","Амлодипін","АМЛОДИПІН‐ ФІТОФАРМ",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"AMLODIPINE‐EURO","Юнік Фармасьютикал
Лабораторіз, Індія",,"tablets; 10 mg; 5 mg;","https://compendium.c om.ua/info/559131/am
lodipin‐evro/",,"Amlodipine","Амлодипін","АМЛОДИПІН ЄВРО",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"EMLODIN®","ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина",,"tablets 10 mg; 5 mg;
2.5 mg;","https://compendium.c om.ua/info/166322/em
lodin‐sup‐sup‐/",,"Amlodipine","Амлодипін","ЕМЛОДИН®",,"таблетки по 10 мг; 5
мг; 2,5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"","Емкур Фармасьютікалс
Лтд., Індія",,"tablets, 2.5 mg; 5 mg","https://mozdocs.kiev.u a/likiview.php?id=4304
7",,"Amlodipine","Амлодипін","ЕСЛО 2,5

ЕСЛО 5",,"таблетки по 5 мг; 2,5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"NORVASC®","Р‐Фарм Джермані ГмбХ (виробник),
Німеччина; / США",,"tablets 5 mg; 10 mg ;","https://compendium.c om.ua/info/6831/norv
ask‐sup‐sup‐/",,"Amlodipine","Амлодипін","НОРВАСК®",,"Таблетки по 5 мг; 10
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"NORMODIPINE","ВАТ ""Гедеон Ріхтер"", Угорщина",,"tablets 10 mg; 5 mg;","https://compendium.c om.ua/info/134797/no
rmodipin/",,"Amlodipine","Амлодипін","НОРМОДИПІН",,"таблетки по 10 мг; 5
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"SAMLOPIN®","ТОВ ""КУСУМ
ФАРМ"", м. Суми,
Україна",,"tablets 2.5 mg; 5 mg;","https://compendium.c om.ua/info/171955/se
mlopin‐sup‐sup‐/",,"Amlodipine","Амлодипін","СЕМЛОПІН®",,"таблетки по 2,5 мг; 5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA01",,,,"STAMLO","Д‐р Редді'с Лабораторіс Лтд,
Індія",,"10 mg tablets;","https://compendium.c om.ua/info/104549/sta
mlo/",,"Amlodipine","Амлодипін","СТАМЛО",,"таблетки по 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA02",,,,"FELODIP","ТЕВА Чех Індастріз с.р.о., Чеська Республіка",,"modified‐release tablets of 10 mg ; 2.5
mg; 5 mg;","https://compendium.c om.ua/info/173267/fel
odip/",,"Felodipine","Фелодипін","ФЕЛОДИП",,"таблетки з модифікованим вивільненням по 10
мг; 5 мг; 2,5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"PHENIHYDIN‐ ZDOROVYE","ТОВ
""Фармацевтична компанія
""Здоров'я"", Україна",,"‐ 10 mg tablets,
‐ oral drops, solution, 20 mg / ml in 10 ml
or 20 ml in a bottle;","https://compendium.c om.ua/info/2150/fenigi
din‐zdorov_e/",,"Nifedipine","Ніфедипін","ФЕНІГІДИН‐ ЗДОРОВ’Я",,"‐ таблетки по 10 мг,
‐ краплі оральні, розчин, 20 мг/мл по",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,"","",,"","",,"","","",,"10 мл або по 20 мл
у флаконі;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"CORDIPIN® XL","КРКА, д.д., Ново место, Словенія",,"modified‐release tablets of 40 mg;","https://compendium.c om.ua/info/171585/ko rdipin/",,"Nifedipine","Ніфедипін","КОРДИПІН XL",,"таблетки з модифікованим вивільненням по 40
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"CORINFAR®","ПЛІВА Хрватска д.о.о., Хорватія",,"prolonged‐release tablets, 10 mg;","https://compendium.c om.ua/info/11820/911
76‐91177/",,"Nifedipine","Ніфедипін","КОРИНФАР®",,"таблетки пролонгованої дії,
по 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"CORINFAR® RETARD","ПЛІВА Хрватска д.о.о., Хорватія",,"prolonged‐release tablets of 20 mg;","https://compendium.c om.ua/info/173270/91
178/",,"Nifedipine","Ніфедипін","КОРИНФАР® РЕТАРД",,"таблетки пролонгованої дії
по 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"CORINFAR® UNO 40","Меркле ГмбХ, Німеччина",,"prolonged‐release tablets of 40 mg;","https://compendium.c om.ua/info/11820/251
283‐251284/",,"Nifedipine","Ніфедипін","КОРИНФАР® УНО 40",,"таблетки пролонгованої дії
по 40 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"NEMOTAN","Медокемі ЛТД, Кіпр",,"tablets, 30 mg;","https://compendium.c
om.ua/info/_5732/",,"Nifedipine","Ніфедипін","НЕМОТАН",,"таблетки, по 30 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"NICARDIA® RETARD","Юнік Фармасьютикал
Лабораторіз, Індія",,"tablets, prolonged action of 20 mg ;","https://compendium.c om.ua/info/154784/nik
ardija‐sup‐sup‐retard/",,"Nifedipine","Ніфедипін","НІКАРДІЯ® РЕТАРД",,"таблетки, пролонгованої дії
по 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"NIMODIPINЕ","ПАТ ""Науково‐ виробничий центр ""Борщагівський хіміко‐
фармацевтичний
завод"", Україна",,"tablets, 30 mg;","https://compendium.c om.ua/info/168251/ni
modipin/",,"Nifedipine","Ніфедипін","НІМОДИПІН",,"таблетки, по 30 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"NIMOTOP®","Байєр АГ, Німеччина",,"‐ solution for infusion, 10 mg / 50 ml; 50 ml of solution in a
vial;
‐ tablets, 30 mg;","https://compendium.c om.ua/info/151832/ni
motop‐sup‐sup‐/",,"Nifedipine","Ніфедипін","НІМОТОП®",,"‐ розчин для інфузій, 10 мг/50 мл; по 50 мл розчину у
флаконі;
‐ таблетки, по 30 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"NITOPIN®","Анфарм Еллас С.А., Греція",,"tablets, 30 mg;","https://compendium.c om.ua/info/220388/nit
opin/",,"Nifedipine","Ніфедипін","НІТОПІН",,"таблетки, по 30 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"NITRESAN®","ПРО.МЕД.ЦС Прага
а.с.",,"tablets 10 mg; 20 mg
;","https://compendium.c om.ua/info/211341/nit
resan/",,"Nifedipine","Ніфедипін","НІТРЕСАН®",,"таблетки по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"NIFEDIPINE","ПрАТ ""Технолог"", м. Умань, Черкаська
обл., Україна",,"tablets 10 mg; 20 mg
;","https://compendium.c om.ua/info/167596/51
977/",,"Nifedipine","Ніфедипін","НІФЕДИПІН",,"таблетки по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"NIFEDIPINE‐ DARNITSA","ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна",,"tablets 10 mg; 20 mg
;","https://compendium.c om.ua/info/167759/57
012/",,"Nifedipine","Ніфедипін","НІФЕДИПІН‐ ДАРНИЦЯ",,"таблетки по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"NIFECARD® XL","Лек фармацевтична компанія д. д.,
Словенія",,"tablets, 30 mg; 60 mg ;","https://mozdocs.kiev.u a/likiview.php?id=5007
5",,"Nifedipine","Ніфедипін","НІФЕКАРД® XL",,"таблетки, по 30 мг; 60 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA05",,,,"FARMADIPINЕ®","ПАТ ""Фармак"", м. Київ, Україна",,"2% oral drops of 5 ml or 25 ml in a bottle;","https://compendium.c om.ua/info/135081/far
madipin‐sup‐sup‐/",,"Nifedipine","Ніфедипін","ФАРМАДИПІН®",,"краплі оральні 2 %
по 5 мл або 25 мл у
флаконі;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA13",,,,"VANLERC","АТ ""КИЇВСЬКИЙ ВІТАМІННИЙ
ЗАВОД"", Україна",,"tablets, 10 mg ; 20 mg ;","https://compendium.c om.ua/info/555889/va
nlerk/",,"Lercanidipine","Лерканідипін","ВАНЛЕРК",,"таблетки, по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA13",,,,"ZANIDIP®","Рекордаті Індастріа Хіміка е Фармасевтіка С.п.А.,
Італія",,"tablets, 10 mg ; 20 mg ;","https://compendium.c om.ua/info/172882/za
nidip‐sup‐sup‐/",,"Lercanidipine","Лерканідипін","ЗАНІДІП®",,"таблетки, по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA13",,,,"EZANTAL","ТОВ НВФ
""МІКРОХІМ""",,"tablets, 20 mg ; 10 mg ;","https://compendium.c om.ua/info/400264/ez
antal/",,"Lercanidipine","Лерканідипін","ЕЗАНТАЛ",,"таблетки, по 20 мг; 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA13",,,,"","БЕРЛІН‐ХЕМІ АГ,
Німеччина",,"tablets, 10 mg; 20 mg;","https://compendium.c om.ua/info/167973/ler
kamen‐sup‐sup‐/",,"Lercanidipine","Лерканідипін","ЛЕРКАМЕН® 10
ЛЕРКАМЕН® 20",,"таблетки, по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA13",,,,"LERCANIDIPINE‐TEVA","Балканфарма‐ Дупниця АТ,
Болгарія",,"tablets, 10 mg;","https://mozdocs.kiev.u a/likiview.php?id=4641
7",,"Lercanidipine","Лерканідипін","ЛЕРКАНІДИПІН‐ ТЕВА",,"таблетки, по 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08CA13",,,,"TORIDIP 10,
TORIDIP 20","Торрент Фармасьютікалс
Лтд, Індія",,"tablets, 10 mg ; 20 mg ;","https://mozdocs.kiev.u a/likiview.php?id=4759
3",,"Lercanidipine","Лерканідипін","ТОРИДИП 10,
ТОРИДИП 20",,"таблетки, по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08DA01",,,,"ISOPTIN®","Аббві Дойчланд ГмбХ і Ко. КГ,
Німеччина",,"tablets, 80 mg;","https://compendium.c om.ua/info/166414/izo
ptin‐sup‐sup‐/",,"Verapamil","Верапаміл","ІЗОПТИН®",,"таблетки, по 80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08DA01",,,,"LEKOPTIN","Лек фармацевтична компанія д.д.,
Словенія",,"tablets, 40 mg; 80 mg;","https://mozdocs.kiev.u a/likiview.php?id=4965
5",,"Verapamil","Верапаміл","ЛЕКОПТИН®",,"таблетки, по 40 мг; 80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08DA01",,,,"VERAPAMIL‐ DARNITSA","ПрАТ
""Фармацевтична фірма ""Дарниця"", Україна",,"‐solution for injection, 2.5 mg / ml in 2 ml ampoules;
‐ tablets, 40 mg; 80
mg ;","https://compendium.c om.ua/info/166124/ver
apamil‐darnitsa/",,"Verapamil","Верапаміл","ВЕРАПАМІЛ‐ ДАРНИЦЯ",,"‐розчин для ін'єкцій, 2,5 мг/мл по 2 мл в ампулі;
‐ таблетки, по 40 мг;
80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08DA01",,,,"VERAPAMIL HYDROCHLORIDE","ТОВ ""Дослідний завод ""ГНЦЛС"",
Україна",,"40 mg tablets; 80 mg","https://compendium.c om.ua/info/166125/89
659/",,"Verapamil","Верапаміл","ВЕРАПАМІЛУ ГІДРОХЛОРИД",,"таблетки по 40 мг; 80 мг",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08DA01",,,,"VERAPAMIL HYDROCHLORIDE","ПАО НПЦ
""Борщаговский
ХФЗ""",,"tablets, 80 mg","https://compendium.c om.ua/info/3114/4755
7/",,"Verapamil","Верапаміл","ВЕРАПАМИЛА ГИДРОХЛОРИД",,"таблетки, по 80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08DA01",,,,"VERATARD 180","ПАТ ""Науково‐ виробничий центр ""Борщагівський хіміко‐
фармацевтичний
завод"", Україна",,"prolonged‐release capsules of 180 mg;","https://compendium.c om.ua/info/169594/",,"Verapamil","Верапаміл","ВЕРАТАРД 180",,"капсули пролонгованої дії по 180 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08DB01",,,,"DILTIAZEM","ПАТ ""Лубнифарм"", м. Лубни, Полтавська обл.,
Україна",,"60 mg tablets;","https://compendium.c om.ua/info/166174/dil
tiazem/",,"Diltiazem","Дилтіазем","ДИЛТІАЗЕМ",,"таблетки по 60 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08DB01",,,,"DIACORDIN® 120 RETARD DIACORDIN® 90
RETARD","ТОВ ""Зентіва"",
Чеська Республіка",,"prolonged‐release tablets of 120 mg;","https://compendium.c om.ua/info/28802/diak
ordin/",,"Diltiazem","Дилтіазем","ДІАКОРДИН® 120 РЕТАРД ДІАКОРДИН® 90
РЕТАРД",,"таблетки пролонгованої дії по 120 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08DB01",,,,"ALDIZEM®","АЛКАЛОЇД АД
Скоп’є, Республіка
Північна Македоні",,"tablets , 90 mg","https://mozdocs.kiev.u a/likiview.php?id=1417
4",,"Diltiazem","Дилтіазем","АЛДІЗЕМ",,"таблетки, по 90 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C08GA02",,,,"ARIFAM® 1,5 MG/5 MG
ARIFAM® 1,5 MG/10 MG","Лабораторії Серв'є Індастрі, Франція",,"modified‐release tablets, 1.5 mg / 10 g
or 1.5 mg / 5 mg;","https://compendium.c om.ua/info/220132/ari
fam‐sup‐sup‐1‐5‐mg‐ 10‐mg/",,"Amlodipine / Diuretics","Індапамід /
Аамлодипін","АРИФАМ® 1,5 МГ/5 МГ
АРИФАМ® 1,5 МГ/10 МГ",,"таблетки з модифікованим вивільненням, по 1,5 мг/10 м;

1,5 мг/5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA01",,,,"KAPTOPRIL","ПАТ
""Київмедпрепарат"",
м. Київ, Україна",,"tablets 25 mg;","https://compendium. com.ua/info/14272/1
3660/",,"Captopril","Каптоприл","КАПТОПРИЛ",,"таблетки по 25 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA01",,,,"KAPTOPRIL","КРКА, д.д., Ново
место, Словенія",,"tablets 12.5 mg; 25
mg; 50 mg;","",,"Captopril","Каптоприл","КАПТОПРИЛ",,"таблетки по 12,5 мг;
25 мг; 50 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA01",,,,"KAPTOPRIL","ТОВ ""Тернофарм"",
м. Тернопіль,
Україна",,"tablets 0.025 g;","",,"Captopril","Каптоприл","КАПТОПРИЛ",,"таблетки по 0,025 г;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA01",,,,"KAPTOPRIL","ТОВ ""АСТРАФАРМ"",
м.Вишневе, Києво‐ Святошинський р‐н,
Україна",,"tablets 25 mg;","",,"Captopril","Каптоприл","КАПТОПРИЛ",,"таблетки по 25 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA01",,,,"CАRDIPRIL 2,5;
CАRDIPRIL 5;
CАRDIPRIL 10;","Фламінго Фармасьютикалс
Лтд., Індія",,"capsules; 10 mg; 2.5
mg; 20 mg; 5 mg;","",,"Captopril","Каптоприл","КАРДИПРИЛ 2,5;
КАРДИПРИЛ 5;
КАРДИПРИЛ 10;",,"капсули по 10 мг; 2,5 мг; 20 мг; 5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALAPRIL","ПАТ ""Хімфармзавод ""Червона зірка"", м. Харків, Україна ТОВ
""Фармацевтична компанія ""Здоров'я"", м.
Харків, Україна",,"tablets 10 mg;","https://compendium. com.ua/info/167552/
98846/",,"Enalapril","Еналаприл","ЕНАЛАПРИЛ",,"таблетки по 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALAPRIL","ПАТ ""Лубнифарм"", м. Лубни, Полтавська обл.,
Україна",,"tablets 10 mg;","",,"Enalapril","Еналаприл","ЕНАЛАПРИЛ",,"таблетки по 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALAPRIL","ПАТ
""Київмедпрепарат"",
м. Київ, Україна",,"tablets 10 mg; 20 mg;","",,"Enalapril","Еналаприл","ЕНАЛАПРИЛ",,"таблетки по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALAPRIL","ПАТ ""Лекхім‐ Харків"", Україна ТОВ Науково‐виробнича фірма
""МІКРОХІМ"",
Україна",,"0.01 g tablets;","",,"Enalapril","Еналаприл","ЕНАЛАПРИЛ",,"таблетки по 0,01 г;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALAPRIL KRKA","КРКА, д.д., Ново
место, Словенія",,"tablets 10 mg; 2.5
mg; 20 mg; 5 mg;","",,"Enalapril","Еналаприл","ЕНАЛАПРИЛ КРКА",,"таблетки по 10 мг;
2,5 мг; 20 мг; 5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALAPRIL‐
ASTRAPHARM","ТОВ ""АСТРАФАРМ"",
м.Вишневе, Києво‐",,"tablets 10 mg; 20 mg;","",,"Enalapril","Еналаприл","ЕНАЛАПРИЛ‐
АСТРАФАРМ",,"таблетки по 10 мг;
20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,"","Святошинський р‐н,
Україна",,"","",,"","","",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALAPRIL‐ DARNITSA","ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна",,"10 mg tablets;","",,"Enalapril","Еналаприл","ЕНАЛАПРИЛ‐ ДАРНИЦЯ",,"таблетки по 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALAPRIL‐ ZDOROVYE","ТОВ
""Фармацевтична компанія
""Здоров'я"", Україна",,"tablets 10 mg; 20 mg;
5 mg;","",,"Enalapril","Еналаприл","ЕНАЛАПРИЛ‐ ЗДОРОВ’Я",,"таблетки по 10 мг; 20 мг; 5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALAPRIL‐TEVA","ТОВ Тева Оперейшнз Поланд,
Польща",,"tablets 20 mg; 10 mg;
5 mg; 2.5 mg;","",,"Enalapril","Еналаприл","ЕНАЛАПРИЛ‐ТЕВА",,"таблетки по 20 мг; 10 мг; 5 мг; 2,5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENALOZID® MONO","АТ ""Фармак"",
Україна",,"tablets, 5 mg 10 mg ,","",,"Enalapril","Еналаприл","ЕНАЛОЗИД® МОНО",,"таблетки, по 5 мг 10
мг,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"ENAP®","КРКА, д.д., Ново место, Словенія",,"‐ 10 mg tablets; 2.5
mg; 20 mg; 5 mg;
‐ solution for injection, 1.25 mg / 1 ml of 1 ml in an
ampoule;","https://compendium. com.ua/info/13380/5
4615/
https://compendium. com.ua/info/74557/5
5414/",,"Enalapril","Еналаприл","ЕНАП®",,"‐ таблетки по 10 мг; 2,5 мг; 20 мг; 5 мг;
‐ розчин для ін'єкцій, 1,25 мг/1 мл по 1 мл в ампулі;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09AA02",,,,"BERLIPRIL® 5;
BERLIPRIL® 10;
BERLIPRIL® 20 ;","Менаріні‐Фон Хейден ГмбХ, США Шарп Корпорація,
США",,"tablets 20 mg; 10 mg;
5 mg;","https://compendium. com.ua/info/12863/b
erlipril‐sup‐sup‐/",,"Enalapril","Еналаприл","БЕРЛІПРИЛ® 5;
БЕРЛІПРИЛ® 10;
БЕРЛІПРИЛ® 20;",,"таблетки по 20 мг; 10 мг; 5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
